operator_name,operator_id,contract_id,my_timetable_route_name,route_variant_type,transport_name_id,transport_name,mot_for_interchange_id,mot_for_interchange,efa_route_name,route_search_name,service_direction_name,1st_twitter_handle,2nd_twitter_handle,tariff_type,depot_name,lp_contact_number,lp_weekday_hours,lp_email,region,regional_trains,text_colour,background_colour,foreground_colour,start_date,route_type,frequency_route,gtfs_agency_id,gtfs_route_id_in,gtfs_route_id_out,gtfs_alerts_id,gtfs_alerts_name
train replacement bus operators,700,,1AT9,Temporary,14,Temporary buses,5,Bus,1AT9,"Epping, then Eastwood, Concord West, North Strathfield, Strathfield and return","Strathfield, then North Strathfield, Concord West, Eastwood, Epping",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_1AT9,700_1AT9,7,sydneytrains
train replacement bus operators,700,,1AT9,Temporary,14,Temporary buses,5,Bus,1AT9,"Epping, then Eastwood, Concord West, North Strathfield, Strathfield and return","Epping, then Eastwood, Concord West, North Strathfield, Strathfield",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_1AT9,700_1AT9,7,sydneytrains
train replacement bus operators,700,,1T9,Temporary,14,Temporary buses,5,Bus,1T9,"Hornsby, then Epping, Eastwood, Concord West, North Strathfield, Strathfield and return","Strathfield, North Strathfield, Concord West, Eastwood, Epping then Hornsby",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_1T9,700_1T9,7,sydneytrains
train replacement bus operators,700,,1T9,Temporary,14,Temporary buses,5,Bus,1T9,"Hornsby, then Epping, Eastwood, Concord West, North Strathfield, Strathfield and return","Hornsby, then Epping, Eastwood, Concord West, North Strathfield, Strathfield",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_1T9,700_1T9,7,sydneytrains
train replacement bus operators,700,,26T8,Temporary,14,Temporary buses,5,Bus,26T8,"Wolli Creek, then all stations to East Hills","East Hills, then all stations to Wolli Creek",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_26T8,700_26T8,7,sydneytrains
train replacement bus operators,700,,26T8,Temporary,14,Temporary buses,5,Bus,26T8,"Wolli Creek, then all stations to East Hills","Wolli Creek, then all stations to East Hills",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_26T8,700_26T8,7,sydneytrains
train replacement bus operators,700,,2AT9,Temporary,14,Temporary buses,5,Bus,2AT9,"West Ryde, then all stations to Strathfield","Strathfield, then all stations to West Ryde",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_2AT9,700_2AT9,7,sydneytrains
train replacement bus operators,700,,2AT9,Temporary,14,Temporary buses,5,Bus,2AT9,"West Ryde, then all stations to Strathfield","West Ryde, then all stations to Strathfield",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_2AT9,700_2AT9,7,sydneytrains
train replacement bus operators,700,,2T9,Temporary,14,Temporary buses,5,Bus,2T9,"Epping, Eastwood, West Ryde, then all stations to Strathfield and return","Strathfield, then all stations to West Ryde, Eastwood, Epping",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_2T9,700_2T9,7,sydneytrains
train replacement bus operators,700,,2T9,Temporary,14,Temporary buses,5,Bus,2T9,"Epping, Eastwood, West Ryde, then all stations to Strathfield and return","Epping, Eastwood, West Ryde, then all stations to Strathfield",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_2T9,700_2T9,7,sydneytrains
train replacement bus operators,700,,33CN,Temporary,14,Temporary buses,5,Bus,33CN,"Newcastle, Hamilton, Broadmeadow, Cardiff, Chatswood, and Central and return","Central, Chatswood, Cardiff, Broadmeadow, Hamilton, and Newcastle",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_33CN,700_33CN,7,sydneytrains
train replacement bus operators,700,,33CN,Temporary,14,Temporary buses,5,Bus,33CN,"Newcastle, Hamilton, Broadmeadow, Cardiff, Chatswood, and Central and return","Newcastle, Hamilton, Broadmeadow, Cardiff, Chatswood, and Central",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_33CN,700_33CN,7,sydneytrains
train replacement bus operators,700,,34T4,Temporary,14,Temporary buses,5,Bus,34T4,"Wolli Creek, then Sydenham","Sydenham, then Wolli Creek",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_34T4,700_34T4,7,sydneytrains
train replacement bus operators,700,,34T4,Temporary,14,Temporary buses,5,Bus,34T4,"Wolli Creek, then Sydenham","Wolli Creek, then Sydenham",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_34T4,700_34T4,7,sydneytrains
train replacement bus operators,700,,35CN,Temporary,14,Temporary buses,5,Bus,35CN,"Gosford, Berowra, Hornsby, Chastwood, Central and return","Central, Chatswood, Hornsby, Berowra, Gosford",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_35CN,700_35CN,7,sydneytrains
train replacement bus operators,700,,35CN,Temporary,14,Temporary buses,5,Bus,35CN,"Gosford, Berowra, Hornsby, Chastwood, Central and return","Gosford, Berowra, Hornsby, Chastwood, Central",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_35CN,700_35CN,7,sydneytrains
train replacement bus operators,700,,35T4,Temporary,14,Temporary buses,5,Bus,35T4,"Arncliffe, then Wolli Creek","Wolli Creek, then Arncliffe",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_35T4,700_35T4,7,sydneytrains
train replacement bus operators,700,,35T4,Temporary,14,Temporary buses,5,Bus,35T4,"Arncliffe, then Wolli Creek","Arncliffe, then Wolli Creek",,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_35T4,700_35T4,7,sydneytrains
train replacement bus operators,700,,40CN,Temporary,14,Temporary buses,5,Bus,40CN,Fassifern to Toronto (Old Toronto Station) and return,Toronto (Old Toronto Station) to Fassifern,,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_34CN,700_40CN,7,sydneytrains
train replacement bus operators,700,,40CN,Temporary,14,Temporary buses,5,Bus,40CN,Fassifern to Toronto (Old Toronto Station) and return,Fassifern to Toronto (Old Toronto Station),,,,,,,,,,#FFFFFF,#EBC813,#00B5EF,,714,0,700,700_34CN,700_40CN,7,sydneytrains
