SK_ID_CURR,predicted_income
319277,153916.74926596598
285623,163211.61673732696
15516,157302.80343551573
271964,164828.03512108792
239692,155049.3971738056
135579,170827.27848808662
342511,169216.57584950895
77416,183061.77491073328
225114,196699.8513365891
79253,204498.36363619874
209293,183184.38761695876
2372,182845.5031568319
223109,189332.88878906082
251569,165644.04256073752
331045,163840.19866188886
158209,153113.6712470305
111909,150752.71454232428
204206,157087.51080494918
234781,152455.07756624743
231791,171040.97575780103
340382,163016.80567355058
340921,153860.5771014305
59688,164191.66561475655
29915,157381.6221794187
157627,160542.63514564012
261880,159068.06599529347
249897,159622.3658965961
303301,216269.78576729112
151350,175160.80930202754
220356,156425.60634441907
44555,164804.83607139144
87313,168720.8277353043
312529,161147.9675289014
95223,164418.40336378437
339917,159717.96380133592
133701,176483.80343624606
176388,153530.29183917865
12667,167357.14115225058
25539,172340.49030319124
48314,146711.12469086022
333609,157721.15076341067
180377,172445.90941183653
235100,156770.77192717377
139655,164735.02225121166
293343,180428.69081732468
170542,186244.7670340859
17372,178924.6062591902
190734,175308.06912092146
12974,171191.19340138088
185786,170131.96143619405
181013,152067.82244350057
352166,178534.69163711634
102063,188159.30326586473
179779,158030.5040321007
225362,152976.14991455586
46611,165497.51122076108
292798,202910.454995437
124135,173069.0663156786
105486,158579.79434744956
96080,141265.0114833642
223875,158199.54775814325
106241,160002.52854174803
232036,179830.96561882604
171751,149359.31135116023
315254,156250.3168533257
167839,139665.5369105887
88972,167011.45741514658
93655,158363.40044292453
172127,153529.80606062358
170132,169222.6580814644
46087,145949.63935924985
158158,141623.4732224636
261332,148095.69103762426
230654,169251.97258350597
268364,158186.42298855347
236160,160492.9958312176
262669,163120.63090540929
77285,157350.84295136324
208567,168376.32784689925
283916,166396.8363211506
252266,161514.98734945423
175567,180463.1131157758
255810,218376.16336237127
283138,154040.57052871984
66688,155349.34567932022
89037,147405.019560536
185135,167358.56032372316
50501,173761.61329727757
353433,163660.99724919873
2913,151863.272305645
119775,181368.63459803088
295894,154504.482671103
310902,149172.84809918964
135171,163222.74509245358
162059,160539.76531008308
181701,191772.91473927055
68853,170613.2332968247
306279,150094.86736889457
270350,179175.37274952285
184499,169226.6747625714
10316,156031.70387912096
216875,162156.90857710032
77124,160994.82025236991
312522,178406.8220712268
209887,147120.67270250246
74402,155869.85930722675
191908,159207.39308020798
92403,206984.05553708208
263519,157976.67785945762
147333,161159.88631597755
101546,168736.82430513288
209419,148105.4422123212
56976,159995.9141875667
320773,189456.43630743664
8337,158522.61908162027
160513,168200.85772739523
5465,161977.11608876337
125952,160045.46978886385
354925,162773.95664666215
228820,159865.85856772258
244617,171492.71197614155
236987,147198.65064073022
24895,159092.0766134578
306981,160633.90559266682
104218,172436.01139893464
174731,173023.21758893924
87468,164315.15640731287
160256,170898.3536389765
292298,170207.77993256296
171704,162032.00433430832
239334,163210.23418827433
138823,162959.66441116785
215114,147521.83380487468
312015,172746.88261200642
192320,158252.2157894553
153426,172328.33155537676
288764,160244.52490296387
312792,158450.42063553838
90666,171527.3031087239
336650,152634.2220431525
172842,193077.8794237791
224494,177110.83399177657
125433,171997.5854378862
346748,170026.76947562565
297847,165281.29992300682
186743,180821.8504498622
184600,165760.73234063428
38343,184211.28038445459
262279,145549.2453504199
108749,170492.8816623243
122663,153214.62721981813
91081,168210.7266747855
78956,163849.28205244913
36887,161922.50940272183
145084,148560.25554710889
312251,149943.35559321506
134684,165268.08606609784
293468,149617.32292269717
211368,149641.77973130532
4218,203750.98146013642
150739,156330.66390574482
41887,176472.25570135764
248098,185415.33516444848
250770,173488.87287866688
280072,172656.96035426034
331787,151257.01980664473
217883,155134.4497545996
165114,145873.59687811264
259732,172541.56152997355
97357,167225.755139112
220813,146881.43517776215
25670,162413.520844665
49148,153535.33412139857
204323,151702.5692935677
44081,187958.0145066559
283051,173122.68815569545
201315,167070.199315688
301228,180255.72788521307
124035,156680.70794896682
204080,156877.28023216187
98362,161321.16951410656
191638,150211.59030188294
326741,153528.54288392654
212144,154445.88089592376
320512,163568.57437756815
143528,157780.14682527652
7192,152399.61615686948
354142,166246.87897356675
43253,205910.6345675406
29876,165920.0797984641
28702,163642.23255771317
109220,154749.63767981232
155368,175278.34328493537
86534,158070.5602144721
185771,206545.33373175218
128396,154426.25664541064
334984,151938.7515199744
224383,161066.5650238907
23809,202291.49920076889
216053,178603.12702711328
286241,153155.08782252425
322407,137321.92558536923
301886,162827.90485910175
245784,166011.17394922223
129242,144806.01623661022
198964,162787.35902134847
295445,187261.6805746904
173947,158768.2146656582
270563,147692.31685611297
9769,173530.1768634246
210486,163828.90856166705
56138,147075.88129562952
91203,160980.85336380178
36141,170916.00937604046
338426,173124.55053316985
40813,161637.8557831273
22271,159393.53818958957
45060,180856.9967225731
126302,155051.317416369
179277,148851.8655717074
31239,173158.6758809614
19400,204514.07915958093
150149,186867.92114418207
345692,177596.50418671637
124275,168475.4048528572
237622,162386.3280446598
248607,172398.07784427275
206803,187318.49967096277
196058,190972.13401831719
296546,159833.29480632
317299,172791.14975661843
150550,151649.0834555374
347783,191368.22224831575
247720,167448.562557639
156408,183924.8037424487
240672,148718.88105952658
120621,190723.21791421613
44690,156216.63773959206
244189,157667.0543829319
217642,157739.9784807911
279138,171320.22666683633
329446,166219.97291014084
137146,175714.12923498295
160844,170505.32571531617
334113,172083.6542087571
143132,152844.2474525174
27474,189415.82618615482
27063,169736.49010987318
354490,188770.9928458575
39443,144838.70862932134
34850,148578.8764344353
70036,155980.62079405048
343191,163474.584153417
35418,170488.4083985319
293430,174939.49240196875
142866,192628.43635589036
208155,170011.00381564078
226231,169104.46285604234
227181,152331.84706277325
157937,169678.42527043234
34464,196728.04590572263
223702,178032.76236271297
112488,181752.52562565144
116848,174764.62005105944
51370,168591.413041689
95653,155175.01370243845
355735,161885.80107099714
104390,193988.91796308287
351256,173825.43561245778
333241,157272.43155330498
195186,171535.48764251152
19027,148265.83098123202
189010,165860.6266275802
189991,190002.7646382861
52120,160066.71954369327
176135,173120.89416098077
68505,156055.52942877292
312976,159009.10811855574
250805,171836.62834252958
220048,170777.72602230986
42810,151552.82782067714
309788,165497.56172546002
51730,168816.98640701358
351185,161737.07529857437
82650,164235.5851540761
256239,160225.54316199094
283757,152903.44203129143
29008,174107.84586768338
35476,176215.5380791257
