SK_ID_CURR,predicted_target
319277,0
285623,0
15516,0
271964,0
239692,0
135579,0
342511,0
77416,0
225114,0
79253,0
209293,0
2372,0
223109,0
251569,0
331045,0
158209,0
111909,0
204206,0
234781,0
231791,0
340382,0
340921,0
59688,0
29915,0
157627,0
261880,0
249897,0
303301,0
151350,0
220356,0
44555,0
87313,0
312529,0
95223,0
339917,0
133701,0
176388,0
12667,0
25539,0
48314,0
333609,0
180377,0
235100,0
139655,0
293343,0
170542,0
17372,0
190734,0
12974,0
185786,0
181013,0
352166,0
102063,0
179779,0
225362,0
46611,0
292798,0
124135,0
105486,0
96080,0
223875,0
106241,0
232036,0
171751,0
315254,0
167839,0
88972,0
93655,0
172127,0
170132,0
46087,0
158158,0
261332,0
230654,0
268364,0
236160,0
262669,0
77285,0
208567,0
283916,0
252266,0
175567,0
255810,0
283138,0
66688,0
89037,0
185135,0
50501,0
353433,1
2913,0
119775,0
295894,0
310902,0
135171,0
162059,0
181701,0
68853,0
306279,0
270350,0
184499,0
10316,0
216875,0
77124,0
312522,0
209887,0
74402,0
191908,0
92403,0
263519,0
147333,0
101546,0
209419,0
56976,0
320773,0
8337,0
160513,0
5465,0
125952,0
354925,0
228820,0
244617,0
236987,0
24895,0
306981,0
104218,0
174731,0
87468,0
160256,0
292298,0
171704,0
239334,0
138823,0
215114,0
312015,0
192320,0
153426,0
288764,0
312792,0
90666,0
336650,0
172842,0
224494,0
125433,0
346748,0
297847,0
186743,0
184600,0
38343,0
262279,0
108749,0
122663,0
91081,1
78956,0
36887,0
145084,0
312251,0
134684,0
293468,0
211368,0
4218,0
150739,0
41887,0
248098,0
250770,0
280072,0
331787,0
217883,0
165114,0
259732,0
97357,0
220813,0
25670,0
49148,0
204323,0
44081,0
283051,0
201315,0
301228,0
124035,0
204080,0
98362,0
191638,0
326741,0
212144,0
320512,0
143528,0
7192,0
354142,0
43253,0
29876,0
28702,0
109220,0
155368,0
86534,0
185771,0
128396,0
334984,0
224383,0
23809,0
216053,0
286241,0
322407,0
301886,0
245784,0
129242,0
198964,0
295445,0
173947,0
270563,0
9769,0
210486,0
56138,0
91203,0
36141,0
338426,0
40813,0
22271,0
45060,0
126302,0
179277,0
31239,0
19400,0
150149,0
345692,0
124275,0
237622,0
248607,0
206803,0
196058,0
296546,0
317299,0
150550,0
347783,0
247720,0
156408,0
240672,0
120621,0
44690,0
244189,0
217642,0
279138,0
329446,0
137146,0
160844,0
334113,0
143132,0
27474,0
27063,0
354490,0
39443,0
34850,1
70036,0
343191,0
35418,0
293430,0
142866,0
208155,0
226231,0
227181,0
157937,0
34464,0
223702,0
112488,0
116848,0
51370,0
95653,0
355735,0
104390,0
351256,0
333241,0
195186,0
19027,0
189010,0
189991,0
52120,0
176135,0
68505,0
312976,0
250805,0
220048,0
42810,0
309788,0
51730,0
351185,0
82650,0
256239,0
283757,0
29008,0
35476,0
185318,0
47104,0
82362,0
174243,0
248123,0
286849,0
209933,0
229911,0
280528,0
312052,0
132495,0
278784,0
70801,0
298767,0
187268,0
44171,0
113494,0
227795,0
137804,0
231106,0
66368,0
346164,0
119193,0
101102,0
210875,0
311743,0
15197,0
288556,0
189336,0
275276,0
4455,0
280272,0
302839,0
261695,0
338908,0
178977,0
96112,0
256147,0
147278,0
223214,0
79342,0
107794,0
23703,0
196923,1
159717,0
62833,0
38470,0
212642,0
262743,0
218507,0
227231,0
310009,0
113843,0
305792,0
23814,0
257780,0
16688,0
258647,0
126596,0
107727,0
121141,0
50929,0
215880,0
164128,0
299789,0
49730,0
136862,0
120658,0
101843,0
168614,0
246175,0
272410,0
273030,0
259911,0
200952,0
193634,0
299062,0
246012,0
212598,0
215140,0
97765,0
25437,0
252842,0
213043,0
153398,0
235668,0
58396,0
127540,0
344286,0
218540,0
33215,0
284408,0
245860,0
169475,0
1084,0
206837,0
301688,0
28635,0
352640,0
30017,0
51600,0
180172,0
310349,0
354905,0
174450,0
224120,0
68594,0
337010,0
77406,0
198469,0
182120,0
167741,0
61649,0
12372,0
20294,0
204051,0
184386,0
248522,0
127969,0
327963,0
102476,0
117729,0
19702,0
10958,0
283070,0
87089,0
42812,0
202248,0
222178,0
101679,0
97599,0
35905,0
167085,0
37598,0
257695,0
254243,0
202940,0
41684,0
13383,0
27842,0
3225,0
41586,0
230257,0
158199,0
81491,0
176821,0
345951,0
317802,0
280750,0
199014,0
314911,0
33784,0
47304,0
149260,0
317309,0
157426,0
142585,1
19601,0
